,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,63.0,18.0,63.0,61.0,63.0,97.0,63.0,1.0,63.0,42.0,63.0,61.0,63.0,60.0,63.0,61.0,63.0,23.0,63.0,61.0,63.0,57.0,63.0,61.0,63.0,34.0,63.0,37.0,63.0,37.0,63.0,15.0,63.0,61.0,63.0,97.0,63.0,5.0,63.0,84.0,63.0,153.0,63.0,168.0,63.0,4.0,63.0,88.0,63.0,70.0,63.0,153.0,63.0,226.0,63.0,24.0
1,61.0,18.0,61.0,61.0,61.0,97.0,61.0,1.0,61.0,42.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,8.0,61.0,37.0,61.0,37.0,61.0,41.0,61.0,61.0,61.0,45.0,61.0,5.0,61.0,153.0,61.0,60.0,61.0,168.0,61.0,79.0,61.0,88.0,61.0,3.0,61.0,153.0,61.0,226.0,61.0,85.0
2,61.0,18.0,61.0,61.0,61.0,97.0,61.0,1.0,61.0,42.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,23.0,61.0,61.0,61.0,7.0,61.0,61.0,61.0,49.0,61.0,37.0,61.0,37.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,130.0,61.0,153.0,61.0,168.0,61.0,79.0,61.0,3.0,61.0,159.0,61.0,153.0,61.0,102.0,61.0,85.0
3,61.0,18.0,61.0,61.0,61.0,97.0,61.0,1.0,61.0,42.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,73.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,79.0,61.0,0.0,61.0,13.0,61.0,113.0,61.0,156.0,61.0,43.0
4,61.0,18.0,61.0,61.0,61.0,97.0,61.0,1.0,61.0,42.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,55.0,61.0,37.0,61.0,37.0,61.0,85.0,61.0,61.0,61.0,36.0,61.0,5.0,61.0,153.0,61.0,10.0,61.0,168.0,61.0,79.0,61.0,47.0,61.0,63.0,61.0,153.0,61.0,226.0,61.0,85.0
5,61.0,18.0,61.0,61.0,61.0,97.0,61.0,1.0,61.0,42.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,8.0,61.0,37.0,61.0,37.0,61.0,85.0,61.0,61.0,61.0,81.0,61.0,5.0,61.0,153.0,61.0,10.0,61.0,168.0,61.0,54.0,61.0,53.0,61.0,121.0,61.0,3.0,61.0,226.0,61.0,85.0
6,61.0,18.0,61.0,61.0,61.0,97.0,61.0,1.0,61.0,42.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,59.0,61.0,37.0,61.0,85.0,61.0,26.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,10.0,61.0,2.0,61.0,79.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
7,61.0,18.0,61.0,61.0,61.0,97.0,61.0,1.0,61.0,42.0,61.0,61.0,61.0,60.0,61.0,61.0,61.0,23.0,61.0,61.0,61.0,14.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,37.0,61.0,85.0,61.0,46.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,10.0,61.0,168.0,61.0,79.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
8,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,6.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,6.0,61.0,10.0,61.0,158.0,61.0,79.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
9,61.0,18.0,61.0,61.0,61.0,61.0,61.0,7.0,61.0,33.0,61.0,61.0,61.0,47.0,61.0,61.0,61.0,34.0,61.0,61.0,61.0,11.0,61.0,61.0,61.0,34.0,61.0,3.0,61.0,61.0,61.0,85.0,61.0,66.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,10.0,61.0,168.0,61.0,79.0,61.0,51.0,61.0,79.0,61.0,46.0,61.0,226.0,61.0,2.0
10,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,15.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,10.0,61.0,168.0,61.0,79.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
11,61.0,18.0,61.0,54.0,61.0,61.0,61.0,57.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,10.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,1.0,61.0,10.0,61.0,168.0,61.0,0.0,61.0,88.0,61.0,30.0,61.0,153.0,61.0,226.0,61.0,85.0
12,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,73.0,61.0,3.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,10.0,61.0,168.0,61.0,79.0,61.0,50.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
13,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,68.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,1.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,79.0,61.0,0.0,61.0,42.0,61.0,40.0,61.0,48.0,61.0,6.0
14,61.0,18.0,61.0,61.0,61.0,10.0,61.0,61.0,61.0,5.0,61.0,2.0,61.0,26.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,49.0,61.0,85.0,61.0,7.0,61.0,97.0,61.0,5.0,61.0,45.0,61.0,34.0,61.0,168.0,61.0,39.0,61.0,37.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
15,61.0,18.0,61.0,61.0,61.0,61.0,61.0,18.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,76.0,61.0,90.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,26.0,61.0,97.0,61.0,5.0,61.0,0.0,61.0,153.0,61.0,168.0,61.0,79.0,61.0,63.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,23.0
16,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,64.0,61.0,61.0,61.0,61.0,61.0,66.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,113.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,79.0,61.0,32.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
17,61.0,18.0,61.0,61.0,61.0,104.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,77.0,61.0,70.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,30.0,61.0,5.0,61.0,0.0,61.0,153.0,61.0,19.0,61.0,41.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,59.0
18,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,16.0,61.0,36.0,61.0,97.0,61.0,18.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,41.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,65.0
19,61.0,18.0,61.0,61.0,61.0,24.0,61.0,61.0,61.0,5.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,57.0,61.0,61.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,148.0,61.0,168.0,61.0,41.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
20,61.0,18.0,61.0,31.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,30.0,61.0,61.0,61.0,34.0,61.0,75.0,61.0,61.0,61.0,30.0,61.0,105.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,41.0,61.0,88.0,61.0,57.0,61.0,153.0,61.0,226.0,61.0,0.0
21,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,37.0,61.0,61.0,61.0,61.0,61.0,35.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,24.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,168.0,61.0,168.0,61.0,41.0,61.0,88.0,61.0,42.0,61.0,41.0,61.0,226.0,61.0,64.0
22,61.0,18.0,61.0,61.0,61.0,61.0,61.0,8.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,27.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,41.0,61.0,88.0,61.0,19.0,61.0,153.0,61.0,17.0,61.0,46.0
23,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,34.0,61.0,12.0,61.0,41.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,41.0,61.0,88.0,61.0,42.0,61.0,22.0,61.0,226.0,61.0,36.0
24,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,49.0,61.0,61.0,61.0,2.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,34.0,61.0,37.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,41.0,61.0,59.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
25,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,34.0,61.0,32.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,14.0,61.0,5.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,32.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,8.0,61.0,68.0
26,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,121.0,61.0,61.0,61.0,88.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,29.0,61.0,37.0,61.0,30.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,5.0,61.0,153.0,61.0,153.0,61.0,168.0,61.0,41.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,226.0,61.0,85.0
27,61.0,18.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,36.0,61.0,61.0,61.0,24.0,61.0,61.0,61.0,61.0,61.0,34.0,61.0,34.0,61.0,21.0,61.0,61.0,61.0,85.0,61.0,61.0,61.0,97.0,61.0,4.0,61.0,153.0,61.0,153.0,61.0,15.0,61.0,41.0,61.0,88.0,61.0,42.0,61.0,153.0,61.0,90.0,61.0,85.0
