,0,1,2,3,4,5
0,3.0,30.0,3.0,3.0,3.0,11.0
1,3.0,30.0,3.0,42.0,3.0,11.0
2,3.0,30.0,3.0,3.0,3.0,11.0
3,3.0,30.0,3.0,24.0,3.0,11.0
4,3.0,30.0,3.0,15.0,3.0,11.0
5,3.0,30.0,3.0,3.0,3.0,11.0
6,3.0,30.0,3.0,6.0,3.0,11.0
7,3.0,30.0,3.0,9.0,3.0,11.0
8,3.0,30.0,3.0,3.0,3.0,8.0
9,3.0,30.0,3.0,3.0,3.0,8.0
10,3.0,30.0,3.0,3.0,3.0,0.0
11,3.0,30.0,3.0,12.0,3.0,0.0
12,3.0,30.0,3.0,3.0,3.0,8.0
13,3.0,30.0,3.0,3.0,3.0,9.0
14,3.0,30.0,3.0,3.0,3.0,8.0
15,3.0,30.0,3.0,3.0,3.0,17.0
16,3.0,30.0,3.0,3.0,3.0,0.0
17,3.0,30.0,3.0,3.0,3.0,8.0
18,3.0,30.0,3.0,3.0,3.0,6.0
19,3.0,30.0,3.0,3.0,3.0,11.0
20,3.0,30.0,3.0,3.0,3.0,29.0
21,3.0,30.0,3.0,6.0,3.0,8.0
22,3.0,30.0,3.0,3.0,3.0,8.0
23,3.0,30.0,3.0,12.0,3.0,27.0
24,3.0,30.0,3.0,0.0,3.0,27.0
25,3.0,30.0,3.0,39.0,3.0,8.0
26,3.0,30.0,3.0,3.0,3.0,53.0
27,3.0,30.0,3.0,6.0,3.0,8.0
28,3.0,30.0,3.0,3.0,3.0,0.0
29,3.0,30.0,3.0,3.0,3.0,8.0
30,3.0,30.0,3.0,24.0,3.0,8.0
31,3.0,30.0,3.0,3.0,3.0,0.0
32,3.0,30.0,3.0,9.0,3.0,44.0
33,3.0,30.0,3.0,3.0,3.0,8.0
34,3.0,30.0,3.0,3.0,3.0,36.0
35,3.0,30.0,3.0,53.0,3.0,38.0
36,3.0,30.0,3.0,3.0,3.0,8.0
37,3.0,30.0,3.0,3.0,3.0,8.0
38,3.0,30.0,3.0,6.0,3.0,8.0
39,3.0,30.0,3.0,18.0,3.0,8.0
40,0.0,3.0,0.0,3.0,0.0,0.0
41,0.0,3.0,0.0,42.0,0.0,0.0
42,0.0,3.0,0.0,24.0,0.0,8.0
43,0.0,36.0,0.0,3.0,0.0,33.0
44,0.0,3.0,0.0,12.0,0.0,8.0
45,0.0,17.0,0.0,18.0,0.0,8.0
46,0.0,3.0,0.0,21.0,0.0,8.0
47,0.0,9.0,0.0,24.0,0.0,0.0
48,0.0,3.0,0.0,39.0,0.0,8.0
49,8.0,3.0,8.0,3.0,8.0,26.0
50,8.0,3.0,8.0,0.0,8.0,26.0
51,8.0,3.0,8.0,15.0,8.0,39.0
52,8.0,0.0,8.0,12.0,8.0,9.0
53,8.0,3.0,8.0,3.0,8.0,26.0
54,8.0,3.0,8.0,30.0,8.0,26.0
55,8.0,21.0,8.0,3.0,8.0,6.0
56,8.0,3.0,8.0,24.0,8.0,14.0
57,8.0,3.0,8.0,3.0,8.0,12.0
58,3.0,3.0,3.0,3.0,3.0,0.0
59,0.0,3.0,0.0,12.0,0.0,0.0
60,0.0,3.0,0.0,0.0,0.0,0.0
61,0.0,3.0,0.0,6.0,0.0,0.0
62,0.0,3.0,0.0,3.0,0.0,26.0
63,0.0,3.0,0.0,21.0,0.0,24.0
64,0.0,6.0,0.0,3.0,0.0,0.0
65,0.0,3.0,0.0,3.0,0.0,6.0
66,0.0,3.0,0.0,9.0,0.0,6.0
67,0.0,3.0,0.0,3.0,0.0,9.0
68,0.0,3.0,0.0,3.0,0.0,8.0
69,21.0,9.0,21.0,6.0,21.0,8.0
70,21.0,3.0,21.0,0.0,21.0,8.0
71,21.0,3.0,21.0,6.0,21.0,0.0
72,21.0,9.0,21.0,0.0,21.0,8.0
73,21.0,3.0,21.0,24.0,21.0,15.0
74,21.0,3.0,21.0,3.0,21.0,8.0
75,21.0,3.0,21.0,0.0,21.0,0.0
76,21.0,18.0,21.0,3.0,21.0,8.0
77,21.0,3.0,21.0,27.0,21.0,53.0
78,12.0,3.0,12.0,9.0,12.0,21.0
79,3.0,3.0,3.0,3.0,3.0,0.0
80,3.0,3.0,3.0,0.0,3.0,26.0
81,3.0,3.0,3.0,9.0,3.0,8.0
82,18.0,3.0,18.0,3.0,18.0,6.0
83,3.0,21.0,3.0,3.0,3.0,21.0
84,3.0,9.0,3.0,3.0,3.0,0.0
85,3.0,3.0,3.0,21.0,3.0,18.0
86,3.0,36.0,3.0,3.0,3.0,9.0
87,3.0,3.0,3.0,30.0,3.0,15.0
88,3.0,9.0,3.0,6.0,3.0,8.0
89,3.0,27.0,3.0,15.0,3.0,0.0
90,3.0,3.0,3.0,3.0,3.0,42.0
91,3.0,3.0,3.0,3.0,3.0,14.0
92,3.0,3.0,3.0,45.0,3.0,8.0
93,3.0,24.0,3.0,3.0,3.0,8.0
94,3.0,21.0,3.0,15.0,3.0,6.0
95,3.0,3.0,3.0,3.0,3.0,3.0
96,3.0,3.0,3.0,18.0,3.0,8.0
97,18.0,3.0,18.0,0.0,18.0,8.0
98,15.0,3.0,15.0,3.0,15.0,8.0
99,3.0,3.0,3.0,32.0,3.0,26.0
100,3.0,3.0,3.0,45.0,3.0,23.0
101,3.0,24.0,3.0,29.0,3.0,8.0
102,3.0,3.0,3.0,3.0,3.0,8.0
103,3.0,24.0,3.0,0.0,3.0,0.0
104,3.0,3.0,3.0,0.0,3.0,3.0
105,3.0,6.0,3.0,53.0,3.0,8.0
106,3.0,3.0,3.0,29.0,3.0,8.0
107,3.0,3.0,3.0,3.0,3.0,8.0
108,3.0,21.0,3.0,3.0,3.0,44.0
109,3.0,3.0,3.0,3.0,3.0,30.0
110,24.0,3.0,24.0,3.0,24.0,30.0
111,24.0,3.0,24.0,24.0,24.0,9.0
112,24.0,6.0,24.0,3.0,24.0,33.0
113,24.0,3.0,24.0,24.0,24.0,0.0
114,24.0,3.0,24.0,6.0,24.0,15.0
115,24.0,3.0,24.0,3.0,24.0,0.0
116,24.0,3.0,24.0,3.0,24.0,0.0
117,24.0,3.0,24.0,3.0,24.0,8.0
118,24.0,3.0,24.0,15.0,24.0,42.0
119,3.0,6.0,3.0,3.0,3.0,8.0
120,3.0,3.0,3.0,3.0,3.0,50.0
121,24.0,6.0,24.0,3.0,24.0,8.0
122,3.0,3.0,3.0,3.0,3.0,26.0
123,24.0,3.0,24.0,3.0,24.0,6.0
124,3.0,3.0,3.0,6.0,3.0,24.0
125,3.0,24.0,3.0,3.0,3.0,42.0
126,3.0,3.0,3.0,3.0,3.0,8.0
127,3.0,3.0,3.0,3.0,3.0,9.0
128,3.0,6.0,3.0,3.0,3.0,24.0
129,3.0,3.0,3.0,24.0,3.0,6.0
130,3.0,3.0,3.0,3.0,3.0,8.0
131,9.0,0.0,9.0,3.0,9.0,8.0
132,3.0,3.0,3.0,3.0,3.0,0.0
133,12.0,3.0,12.0,21.0,12.0,0.0
134,12.0,3.0,12.0,3.0,12.0,8.0
135,3.0,39.0,3.0,3.0,3.0,8.0
136,3.0,3.0,3.0,3.0,3.0,8.0
137,3.0,21.0,3.0,0.0,3.0,8.0
138,15.0,15.0,15.0,0.0,15.0,27.0
139,3.0,3.0,3.0,45.0,3.0,12.0
140,3.0,3.0,3.0,0.0,3.0,8.0
141,45.0,24.0,45.0,0.0,45.0,8.0
142,45.0,3.0,45.0,27.0,45.0,26.0
143,45.0,3.0,45.0,0.0,45.0,0.0
144,45.0,3.0,45.0,15.0,45.0,8.0
145,45.0,3.0,45.0,12.0,45.0,8.0
146,45.0,21.0,45.0,30.0,45.0,8.0
147,45.0,29.0,45.0,33.0,45.0,8.0
148,45.0,3.0,45.0,0.0,45.0,8.0
