,0,1,2,3,4,5
0,3.0,14.0,3.0,8.0,3.0,47.0
1,3.0,14.0,3.0,8.0,3.0,47.0
2,3.0,14.0,3.0,8.0,3.0,47.0
3,3.0,14.0,3.0,8.0,3.0,47.0
4,3.0,14.0,3.0,8.0,3.0,47.0
5,3.0,14.0,3.0,8.0,3.0,47.0
6,3.0,14.0,3.0,8.0,3.0,47.0
7,3.0,14.0,3.0,8.0,3.0,47.0
8,3.0,14.0,3.0,3.0,3.0,20.0
9,3.0,14.0,3.0,12.0,3.0,20.0
10,3.0,14.0,3.0,0.0,3.0,20.0
11,3.0,14.0,3.0,0.0,3.0,20.0
12,3.0,14.0,3.0,30.0,3.0,20.0
13,3.0,14.0,3.0,3.0,3.0,27.0
14,3.0,14.0,3.0,27.0,3.0,20.0
15,3.0,14.0,3.0,3.0,3.0,20.0
16,3.0,14.0,3.0,3.0,3.0,12.0
17,3.0,14.0,3.0,6.0,3.0,20.0
18,3.0,14.0,3.0,3.0,3.0,20.0
19,3.0,14.0,3.0,3.0,3.0,20.0
20,3.0,14.0,3.0,3.0,3.0,20.0
21,3.0,14.0,3.0,3.0,3.0,20.0
22,3.0,14.0,3.0,3.0,3.0,9.0
23,3.0,14.0,3.0,3.0,3.0,20.0
24,3.0,14.0,3.0,0.0,3.0,20.0
25,3.0,14.0,3.0,3.0,3.0,26.0
26,3.0,14.0,3.0,3.0,3.0,20.0
27,3.0,14.0,3.0,3.0,3.0,20.0
28,3.0,14.0,3.0,3.0,3.0,20.0
29,3.0,14.0,3.0,53.0,3.0,20.0
30,3.0,14.0,3.0,24.0,3.0,17.0
31,3.0,14.0,3.0,9.0,3.0,20.0
32,3.0,14.0,3.0,21.0,3.0,20.0
33,3.0,14.0,3.0,15.0,3.0,20.0
34,3.0,14.0,3.0,3.0,3.0,20.0
35,3.0,14.0,3.0,12.0,3.0,0.0
36,3.0,14.0,3.0,0.0,3.0,0.0
37,3.0,14.0,3.0,3.0,3.0,30.0
38,3.0,14.0,3.0,3.0,3.0,20.0
39,3.0,14.0,3.0,3.0,3.0,20.0
40,27.0,9.0,27.0,12.0,27.0,0.0
41,27.0,15.0,27.0,3.0,27.0,20.0
42,27.0,0.0,27.0,3.0,27.0,20.0
43,27.0,3.0,27.0,3.0,27.0,27.0
44,27.0,3.0,27.0,0.0,27.0,3.0
45,27.0,0.0,27.0,3.0,27.0,15.0
46,27.0,9.0,27.0,3.0,27.0,32.0
47,27.0,0.0,27.0,39.0,27.0,39.0
48,27.0,45.0,27.0,3.0,27.0,6.0
49,3.0,3.0,3.0,3.0,3.0,0.0
50,3.0,3.0,3.0,3.0,3.0,3.0
51,3.0,12.0,3.0,3.0,3.0,15.0
52,3.0,0.0,3.0,3.0,3.0,45.0
53,3.0,3.0,3.0,3.0,3.0,39.0
54,3.0,9.0,3.0,9.0,3.0,11.0
55,3.0,3.0,3.0,3.0,3.0,45.0
56,20.0,3.0,20.0,3.0,20.0,27.0
57,20.0,3.0,20.0,3.0,20.0,39.0
58,20.0,3.0,20.0,3.0,20.0,3.0
59,20.0,42.0,20.0,36.0,20.0,53.0
60,20.0,29.0,20.0,3.0,20.0,0.0
61,20.0,3.0,20.0,3.0,20.0,0.0
62,20.0,3.0,20.0,21.0,20.0,0.0
63,20.0,3.0,20.0,15.0,20.0,21.0
64,20.0,3.0,20.0,3.0,20.0,0.0
65,6.0,3.0,6.0,3.0,6.0,3.0
66,3.0,42.0,3.0,0.0,3.0,11.0
67,3.0,0.0,3.0,3.0,3.0,20.0
68,3.0,3.0,3.0,3.0,3.0,20.0
69,3.0,6.0,3.0,3.0,3.0,20.0
70,3.0,3.0,3.0,3.0,3.0,20.0
71,3.0,3.0,3.0,24.0,3.0,6.0
72,3.0,36.0,3.0,3.0,3.0,3.0
73,3.0,12.0,3.0,3.0,3.0,29.0
74,3.0,3.0,3.0,3.0,3.0,20.0
