,0,1,2,3,4,5
0,3.0,29.0,3.0,15.0,3.0,17.0
1,3.0,29.0,3.0,3.0,3.0,17.0
2,3.0,29.0,3.0,3.0,3.0,17.0
3,3.0,29.0,3.0,6.0,3.0,17.0
4,3.0,29.0,3.0,3.0,3.0,17.0
5,3.0,29.0,3.0,3.0,3.0,17.0
6,3.0,29.0,3.0,3.0,3.0,17.0
7,3.0,29.0,3.0,3.0,3.0,17.0
8,3.0,29.0,3.0,15.0,3.0,53.0
9,3.0,29.0,3.0,3.0,3.0,3.0
10,3.0,29.0,3.0,3.0,3.0,12.0
11,3.0,29.0,3.0,3.0,3.0,0.0
12,3.0,29.0,3.0,3.0,3.0,24.0
13,3.0,29.0,3.0,3.0,3.0,30.0
14,3.0,29.0,3.0,3.0,3.0,45.0
15,3.0,29.0,3.0,3.0,3.0,3.0
16,3.0,29.0,3.0,3.0,3.0,0.0
17,3.0,29.0,3.0,0.0,3.0,18.0
18,3.0,29.0,3.0,3.0,3.0,15.0
19,3.0,29.0,3.0,12.0,3.0,36.0
20,3.0,29.0,3.0,3.0,3.0,0.0
21,3.0,29.0,3.0,3.0,3.0,9.0
22,3.0,29.0,3.0,3.0,3.0,12.0
23,3.0,29.0,3.0,3.0,3.0,27.0
24,3.0,29.0,3.0,18.0,3.0,18.0
25,3.0,29.0,3.0,3.0,3.0,3.0
26,3.0,29.0,3.0,3.0,3.0,3.0
27,3.0,29.0,3.0,3.0,3.0,3.0
28,3.0,29.0,3.0,3.0,3.0,3.0
29,3.0,29.0,3.0,3.0,3.0,21.0
30,3.0,29.0,3.0,3.0,3.0,3.0
31,3.0,29.0,3.0,3.0,3.0,29.0
32,3.0,29.0,3.0,44.0,3.0,3.0
33,3.0,29.0,3.0,12.0,3.0,3.0
34,3.0,29.0,3.0,3.0,3.0,3.0
35,3.0,29.0,3.0,9.0,3.0,3.0
36,3.0,29.0,3.0,23.0,3.0,3.0
37,3.0,29.0,3.0,12.0,3.0,3.0
38,3.0,29.0,3.0,3.0,3.0,3.0
39,3.0,29.0,3.0,3.0,3.0,3.0
40,3.0,9.0,3.0,3.0,3.0,3.0
41,24.0,3.0,24.0,15.0,24.0,3.0
42,24.0,3.0,24.0,24.0,24.0,3.0
43,24.0,3.0,24.0,3.0,24.0,3.0
44,24.0,3.0,24.0,3.0,24.0,3.0
45,24.0,3.0,24.0,3.0,24.0,0.0
46,24.0,3.0,24.0,3.0,24.0,14.0
47,24.0,15.0,24.0,3.0,24.0,3.0
48,24.0,15.0,24.0,3.0,24.0,3.0
49,24.0,3.0,24.0,24.0,24.0,27.0
50,3.0,3.0,3.0,3.0,3.0,0.0
51,15.0,33.0,15.0,3.0,15.0,3.0
52,0.0,0.0,0.0,6.0,0.0,12.0
53,0.0,3.0,0.0,3.0,0.0,0.0
54,0.0,3.0,0.0,3.0,0.0,21.0
55,0.0,3.0,0.0,3.0,0.0,3.0
56,0.0,3.0,0.0,3.0,0.0,30.0
57,0.0,3.0,0.0,6.0,0.0,3.0
58,0.0,6.0,0.0,3.0,0.0,3.0
59,0.0,9.0,0.0,0.0,0.0,6.0
60,0.0,3.0,0.0,3.0,0.0,0.0
61,3.0,3.0,3.0,0.0,3.0,21.0
62,3.0,3.0,3.0,3.0,3.0,3.0
63,0.0,6.0,0.0,3.0,0.0,3.0
64,0.0,3.0,0.0,3.0,0.0,3.0
65,0.0,3.0,0.0,3.0,0.0,27.0
66,0.0,3.0,0.0,3.0,0.0,3.0
67,0.0,3.0,0.0,3.0,0.0,6.0
68,0.0,3.0,0.0,0.0,0.0,29.0
69,0.0,24.0,0.0,3.0,0.0,3.0
70,0.0,3.0,0.0,3.0,0.0,3.0
71,0.0,3.0,0.0,3.0,0.0,3.0
72,15.0,3.0,15.0,32.0,15.0,15.0
73,3.0,3.0,3.0,24.0,3.0,3.0
74,3.0,3.0,3.0,0.0,3.0,3.0
75,3.0,3.0,3.0,3.0,3.0,3.0
76,3.0,3.0,3.0,3.0,3.0,3.0
77,3.0,3.0,3.0,3.0,3.0,9.0
78,21.0,3.0,21.0,3.0,21.0,0.0
79,3.0,3.0,3.0,3.0,3.0,3.0
80,3.0,3.0,3.0,32.0,3.0,3.0
81,3.0,3.0,3.0,3.0,3.0,3.0
82,3.0,3.0,3.0,3.0,3.0,8.0
83,12.0,3.0,12.0,3.0,12.0,3.0
84,26.0,3.0,26.0,0.0,26.0,29.0
85,26.0,3.0,26.0,0.0,26.0,3.0
