,0,1,2,3,4,5
0,3.0,20.0,3.0,29.0,3.0,11.0
1,3.0,20.0,3.0,3.0,3.0,11.0
2,3.0,20.0,3.0,0.0,3.0,11.0
3,3.0,20.0,3.0,36.0,3.0,11.0
4,3.0,20.0,3.0,3.0,3.0,11.0
5,3.0,20.0,3.0,3.0,3.0,11.0
6,3.0,20.0,3.0,21.0,3.0,11.0
7,3.0,20.0,3.0,12.0,3.0,11.0
8,3.0,20.0,3.0,3.0,3.0,17.0
9,3.0,20.0,3.0,3.0,3.0,17.0
10,3.0,20.0,3.0,6.0,3.0,17.0
11,3.0,20.0,3.0,3.0,3.0,12.0
12,3.0,20.0,3.0,3.0,3.0,17.0
13,3.0,20.0,3.0,3.0,3.0,17.0
14,3.0,20.0,3.0,9.0,3.0,15.0
15,3.0,20.0,3.0,3.0,3.0,17.0
16,3.0,20.0,3.0,3.0,3.0,17.0
17,3.0,20.0,3.0,3.0,3.0,17.0
18,3.0,20.0,3.0,36.0,3.0,0.0
19,3.0,20.0,3.0,3.0,3.0,17.0
20,3.0,20.0,3.0,3.0,3.0,36.0
21,3.0,20.0,3.0,12.0,3.0,17.0
22,3.0,20.0,3.0,6.0,3.0,17.0
23,3.0,20.0,3.0,3.0,3.0,24.0
24,3.0,20.0,3.0,21.0,3.0,17.0
25,3.0,20.0,3.0,3.0,3.0,17.0
26,3.0,20.0,3.0,3.0,3.0,17.0
27,3.0,20.0,3.0,3.0,3.0,17.0
28,3.0,20.0,3.0,3.0,3.0,36.0
29,3.0,20.0,3.0,6.0,3.0,17.0
30,3.0,20.0,3.0,27.0,3.0,17.0
31,3.0,20.0,3.0,3.0,3.0,17.0
32,3.0,20.0,3.0,9.0,3.0,0.0
33,3.0,20.0,3.0,3.0,3.0,17.0
34,3.0,20.0,3.0,9.0,3.0,17.0
35,3.0,20.0,3.0,3.0,3.0,17.0
36,3.0,20.0,3.0,3.0,3.0,53.0
37,3.0,20.0,3.0,3.0,3.0,17.0
38,3.0,20.0,3.0,9.0,3.0,17.0
39,3.0,20.0,3.0,3.0,3.0,17.0
40,3.0,3.0,3.0,3.0,3.0,17.0
41,3.0,3.0,3.0,3.0,3.0,6.0
42,3.0,3.0,3.0,24.0,3.0,17.0
43,3.0,27.0,3.0,0.0,3.0,17.0
44,3.0,0.0,3.0,15.0,3.0,42.0
45,3.0,3.0,3.0,3.0,3.0,17.0
46,6.0,3.0,6.0,9.0,6.0,17.0
47,6.0,12.0,6.0,3.0,6.0,0.0
48,6.0,3.0,6.0,3.0,6.0,9.0
49,6.0,3.0,6.0,3.0,6.0,17.0
50,6.0,3.0,6.0,3.0,6.0,0.0
51,6.0,3.0,6.0,21.0,6.0,17.0
52,6.0,0.0,6.0,0.0,6.0,20.0
53,6.0,3.0,6.0,3.0,6.0,17.0
54,6.0,3.0,6.0,3.0,6.0,36.0
55,3.0,38.0,3.0,33.0,3.0,23.0
56,3.0,29.0,3.0,3.0,3.0,17.0
57,3.0,3.0,3.0,3.0,3.0,3.0
58,17.0,9.0,17.0,12.0,17.0,36.0
59,17.0,14.0,17.0,3.0,17.0,17.0
60,17.0,3.0,17.0,15.0,17.0,20.0
61,17.0,3.0,17.0,24.0,17.0,39.0
62,17.0,3.0,17.0,3.0,17.0,17.0
63,17.0,3.0,17.0,3.0,17.0,17.0
64,17.0,3.0,17.0,3.0,17.0,17.0
65,17.0,6.0,17.0,21.0,17.0,0.0
66,17.0,3.0,17.0,3.0,17.0,0.0
67,18.0,12.0,18.0,0.0,18.0,3.0
68,18.0,6.0,18.0,3.0,18.0,17.0
69,18.0,3.0,18.0,21.0,18.0,0.0
70,18.0,3.0,18.0,3.0,18.0,17.0
71,18.0,3.0,18.0,9.0,18.0,0.0
72,18.0,3.0,18.0,23.0,18.0,17.0
73,18.0,3.0,18.0,29.0,18.0,26.0
74,18.0,3.0,18.0,18.0,18.0,17.0
75,18.0,3.0,18.0,3.0,18.0,3.0
76,3.0,0.0,3.0,3.0,3.0,36.0
77,3.0,3.0,3.0,3.0,3.0,17.0
78,3.0,3.0,3.0,3.0,3.0,17.0
79,3.0,3.0,3.0,3.0,3.0,0.0
80,3.0,3.0,3.0,21.0,3.0,0.0
81,27.0,9.0,27.0,3.0,27.0,17.0
82,27.0,3.0,27.0,42.0,27.0,17.0
83,27.0,3.0,27.0,3.0,27.0,9.0
84,27.0,3.0,27.0,3.0,27.0,27.0
85,27.0,3.0,27.0,3.0,27.0,36.0
86,27.0,3.0,27.0,3.0,27.0,17.0
87,27.0,3.0,27.0,3.0,27.0,17.0
88,27.0,3.0,27.0,3.0,27.0,17.0
89,27.0,12.0,27.0,24.0,27.0,0.0
90,0.0,3.0,0.0,3.0,0.0,45.0
91,3.0,21.0,3.0,3.0,3.0,17.0
92,3.0,3.0,3.0,0.0,3.0,17.0
93,15.0,3.0,15.0,3.0,15.0,17.0
94,3.0,24.0,3.0,3.0,3.0,17.0
95,0.0,3.0,0.0,3.0,0.0,17.0
96,0.0,18.0,0.0,3.0,0.0,17.0
97,0.0,24.0,0.0,6.0,0.0,17.0
98,0.0,3.0,0.0,3.0,0.0,17.0
99,0.0,24.0,0.0,3.0,0.0,17.0
100,0.0,3.0,0.0,3.0,0.0,41.0
101,0.0,0.0,0.0,21.0,0.0,17.0
102,0.0,15.0,0.0,3.0,0.0,3.0
103,0.0,6.0,0.0,9.0,0.0,12.0
104,3.0,21.0,3.0,3.0,3.0,17.0
105,3.0,3.0,3.0,27.0,3.0,17.0
106,9.0,27.0,9.0,3.0,9.0,0.0
107,3.0,0.0,3.0,3.0,3.0,17.0
108,3.0,3.0,3.0,3.0,3.0,6.0
109,3.0,3.0,3.0,9.0,3.0,17.0
110,3.0,3.0,3.0,3.0,3.0,0.0
111,3.0,24.0,3.0,24.0,3.0,17.0
112,3.0,15.0,3.0,3.0,3.0,17.0
113,3.0,3.0,3.0,3.0,3.0,17.0
114,3.0,3.0,3.0,3.0,3.0,17.0
115,3.0,27.0,3.0,0.0,3.0,0.0
116,18.0,3.0,18.0,3.0,18.0,33.0
117,0.0,3.0,0.0,0.0,0.0,17.0
118,3.0,3.0,3.0,41.0,3.0,17.0
119,3.0,3.0,3.0,0.0,3.0,36.0
120,3.0,3.0,3.0,3.0,3.0,17.0
121,3.0,3.0,3.0,3.0,3.0,17.0
122,18.0,3.0,18.0,0.0,18.0,17.0
123,3.0,3.0,3.0,3.0,3.0,17.0
124,3.0,6.0,3.0,3.0,3.0,17.0
125,3.0,3.0,3.0,0.0,3.0,17.0
126,3.0,3.0,3.0,3.0,3.0,17.0
127,15.0,3.0,15.0,3.0,15.0,17.0
128,3.0,3.0,3.0,15.0,3.0,17.0
129,12.0,6.0,12.0,3.0,12.0,17.0
130,6.0,3.0,6.0,3.0,6.0,17.0
131,3.0,15.0,3.0,3.0,3.0,17.0
132,24.0,27.0,24.0,3.0,24.0,17.0
133,3.0,21.0,3.0,39.0,3.0,17.0
134,3.0,3.0,3.0,3.0,3.0,17.0
135,3.0,3.0,3.0,3.0,3.0,17.0
136,3.0,3.0,3.0,3.0,3.0,17.0
137,21.0,3.0,21.0,27.0,21.0,0.0
138,0.0,3.0,0.0,39.0,0.0,17.0
139,3.0,45.0,3.0,24.0,3.0,17.0
140,3.0,0.0,3.0,9.0,3.0,17.0
141,0.0,9.0,0.0,27.0,0.0,17.0
142,3.0,3.0,3.0,3.0,3.0,36.0
143,3.0,18.0,3.0,3.0,3.0,17.0
144,12.0,18.0,12.0,3.0,12.0,17.0
145,3.0,3.0,3.0,15.0,3.0,3.0
146,18.0,18.0,18.0,3.0,18.0,53.0
147,3.0,3.0,3.0,3.0,3.0,17.0
148,0.0,3.0,0.0,3.0,0.0,15.0
149,3.0,3.0,3.0,3.0,3.0,6.0
150,3.0,3.0,3.0,9.0,3.0,17.0
151,0.0,3.0,0.0,3.0,0.0,17.0
152,21.0,3.0,21.0,3.0,21.0,24.0
153,9.0,3.0,9.0,3.0,9.0,15.0
154,6.0,3.0,6.0,3.0,6.0,3.0
155,3.0,39.0,3.0,27.0,3.0,0.0
156,3.0,21.0,3.0,53.0,3.0,53.0
157,3.0,0.0,3.0,3.0,3.0,18.0
158,6.0,3.0,6.0,3.0,6.0,26.0
159,3.0,3.0,3.0,3.0,3.0,17.0
160,3.0,3.0,3.0,3.0,3.0,17.0
161,3.0,3.0,3.0,24.0,3.0,17.0
162,27.0,24.0,27.0,6.0,27.0,17.0
163,3.0,3.0,3.0,18.0,3.0,17.0
164,29.0,3.0,29.0,3.0,29.0,17.0
165,29.0,3.0,29.0,3.0,29.0,30.0
166,29.0,3.0,29.0,3.0,29.0,9.0
167,29.0,3.0,29.0,3.0,29.0,17.0
168,29.0,3.0,29.0,3.0,29.0,17.0
169,29.0,0.0,29.0,9.0,29.0,27.0
170,29.0,3.0,29.0,3.0,29.0,41.0
171,29.0,15.0,29.0,3.0,29.0,17.0
172,29.0,3.0,29.0,3.0,29.0,17.0
173,3.0,24.0,3.0,3.0,3.0,9.0
174,3.0,3.0,3.0,3.0,3.0,24.0
175,3.0,29.0,3.0,3.0,3.0,36.0
176,3.0,3.0,3.0,3.0,3.0,36.0
177,0.0,3.0,0.0,3.0,0.0,6.0
178,0.0,3.0,0.0,3.0,0.0,9.0
179,0.0,3.0,0.0,3.0,0.0,3.0
180,0.0,12.0,0.0,3.0,0.0,39.0
181,0.0,3.0,0.0,3.0,0.0,17.0
182,0.0,3.0,0.0,3.0,0.0,24.0
183,0.0,3.0,0.0,3.0,0.0,17.0
184,0.0,12.0,0.0,3.0,0.0,0.0
185,0.0,3.0,0.0,27.0,0.0,0.0
186,15.0,12.0,15.0,3.0,15.0,30.0
187,3.0,18.0,3.0,3.0,3.0,9.0
188,18.0,3.0,18.0,3.0,18.0,17.0
189,3.0,3.0,3.0,3.0,3.0,17.0
190,3.0,9.0,3.0,3.0,3.0,17.0
191,3.0,3.0,3.0,3.0,3.0,9.0
192,3.0,3.0,3.0,3.0,3.0,30.0
193,3.0,3.0,3.0,3.0,3.0,17.0
194,3.0,9.0,3.0,39.0,3.0,17.0
195,3.0,21.0,3.0,3.0,3.0,17.0
196,3.0,3.0,3.0,3.0,3.0,0.0
197,3.0,3.0,3.0,0.0,3.0,45.0
198,24.0,3.0,24.0,29.0,24.0,0.0
199,18.0,3.0,18.0,3.0,18.0,3.0
200,3.0,15.0,3.0,3.0,3.0,6.0
201,38.0,3.0,38.0,3.0,38.0,18.0
202,38.0,3.0,38.0,3.0,38.0,18.0
203,38.0,0.0,38.0,0.0,38.0,18.0
204,38.0,3.0,38.0,3.0,38.0,27.0
205,38.0,0.0,38.0,3.0,38.0,18.0
206,38.0,3.0,38.0,3.0,38.0,18.0
207,38.0,0.0,38.0,3.0,38.0,18.0
208,38.0,3.0,38.0,3.0,38.0,18.0
209,38.0,3.0,38.0,3.0,38.0,18.0
210,3.0,3.0,3.0,15.0,3.0,6.0
211,0.0,3.0,0.0,15.0,0.0,18.0
212,3.0,3.0,3.0,39.0,3.0,18.0
213,0.0,3.0,0.0,3.0,0.0,15.0
214,42.0,53.0,42.0,3.0,42.0,18.0
215,42.0,53.0,42.0,3.0,42.0,18.0
216,42.0,53.0,42.0,27.0,42.0,3.0
217,42.0,53.0,42.0,0.0,42.0,0.0
218,42.0,53.0,42.0,3.0,42.0,18.0
219,42.0,53.0,42.0,29.0,42.0,24.0
220,42.0,53.0,42.0,3.0,42.0,9.0
221,42.0,53.0,42.0,0.0,42.0,11.0
