,0,1,2,3,4,5
0,3.0,30.0,3.0,12.0,3.0,38.0
1,3.0,30.0,3.0,0.0,3.0,38.0
2,3.0,30.0,3.0,45.0,3.0,38.0
3,3.0,30.0,3.0,53.0,3.0,38.0
4,3.0,30.0,3.0,0.0,3.0,38.0
5,3.0,30.0,3.0,6.0,3.0,38.0
6,3.0,30.0,3.0,0.0,3.0,38.0
7,3.0,30.0,3.0,0.0,3.0,38.0
8,3.0,30.0,3.0,30.0,3.0,33.0
9,3.0,30.0,3.0,3.0,3.0,9.0
10,3.0,30.0,3.0,18.0,3.0,9.0
11,3.0,30.0,3.0,0.0,3.0,27.0
12,3.0,30.0,3.0,24.0,3.0,9.0
13,3.0,30.0,3.0,24.0,3.0,9.0
14,3.0,30.0,3.0,0.0,3.0,9.0
15,3.0,30.0,3.0,36.0,3.0,3.0
16,3.0,30.0,3.0,0.0,3.0,9.0
17,3.0,30.0,3.0,0.0,3.0,12.0
18,3.0,30.0,3.0,33.0,3.0,9.0
19,3.0,30.0,3.0,6.0,3.0,0.0
20,3.0,30.0,3.0,0.0,3.0,9.0
21,3.0,30.0,3.0,0.0,3.0,0.0
22,3.0,30.0,3.0,33.0,3.0,24.0
23,3.0,30.0,3.0,0.0,3.0,3.0
24,3.0,30.0,3.0,36.0,3.0,0.0
25,3.0,30.0,3.0,9.0,3.0,0.0
26,3.0,30.0,3.0,15.0,3.0,50.0
27,3.0,30.0,3.0,27.0,3.0,0.0
28,3.0,30.0,3.0,30.0,3.0,0.0
29,3.0,30.0,3.0,0.0,3.0,24.0
30,3.0,30.0,3.0,0.0,3.0,8.0
31,3.0,30.0,3.0,0.0,3.0,35.0
32,3.0,30.0,3.0,0.0,3.0,0.0
33,3.0,30.0,3.0,39.0,3.0,9.0
34,3.0,30.0,3.0,18.0,3.0,0.0
35,3.0,30.0,3.0,18.0,3.0,36.0
36,3.0,30.0,3.0,15.0,3.0,9.0
37,3.0,30.0,3.0,0.0,3.0,33.0
38,3.0,30.0,3.0,3.0,3.0,9.0
39,3.0,30.0,3.0,0.0,3.0,0.0
40,0.0,53.0,0.0,0.0,0.0,18.0
41,0.0,3.0,0.0,0.0,0.0,15.0
42,0.0,3.0,0.0,26.0,0.0,9.0
43,0.0,3.0,0.0,0.0,0.0,20.0
44,0.0,3.0,0.0,12.0,0.0,3.0
45,0.0,3.0,0.0,9.0,0.0,38.0
46,0.0,3.0,0.0,0.0,0.0,15.0
47,0.0,24.0,0.0,3.0,0.0,36.0
48,0.0,0.0,0.0,9.0,0.0,3.0
49,3.0,18.0,3.0,3.0,3.0,9.0
50,9.0,0.0,9.0,15.0,9.0,45.0
51,9.0,24.0,9.0,9.0,9.0,6.0
52,9.0,3.0,9.0,0.0,9.0,0.0
53,9.0,24.0,9.0,24.0,9.0,0.0
54,9.0,3.0,9.0,9.0,9.0,0.0
55,9.0,3.0,9.0,30.0,9.0,21.0
56,9.0,3.0,9.0,9.0,9.0,12.0
57,9.0,12.0,9.0,24.0,9.0,15.0
58,9.0,27.0,9.0,9.0,9.0,12.0
59,3.0,53.0,3.0,9.0,3.0,24.0
60,9.0,3.0,9.0,9.0,9.0,27.0
61,9.0,3.0,9.0,9.0,9.0,12.0
62,9.0,45.0,9.0,9.0,9.0,9.0
63,9.0,3.0,9.0,9.0,9.0,0.0
64,9.0,3.0,9.0,50.0,9.0,41.0
65,9.0,12.0,9.0,9.0,9.0,0.0
66,9.0,3.0,9.0,0.0,9.0,45.0
67,9.0,18.0,9.0,12.0,9.0,39.0
68,9.0,3.0,9.0,21.0,9.0,12.0
69,6.0,36.0,6.0,0.0,6.0,50.0
70,21.0,3.0,21.0,6.0,21.0,15.0
71,21.0,0.0,21.0,0.0,21.0,0.0
72,21.0,3.0,21.0,0.0,21.0,0.0
73,21.0,15.0,21.0,12.0,21.0,21.0
74,21.0,3.0,21.0,0.0,21.0,45.0
75,21.0,3.0,21.0,27.0,21.0,21.0
76,21.0,27.0,21.0,12.0,21.0,0.0
77,21.0,3.0,21.0,9.0,21.0,21.0
78,21.0,3.0,21.0,27.0,21.0,6.0
79,3.0,3.0,3.0,3.0,3.0,0.0
80,3.0,3.0,3.0,27.0,3.0,21.0
81,9.0,0.0,9.0,53.0,9.0,3.0
82,3.0,21.0,3.0,27.0,3.0,24.0
83,3.0,3.0,3.0,9.0,3.0,45.0
84,3.0,3.0,3.0,0.0,3.0,30.0
85,3.0,3.0,3.0,15.0,3.0,0.0
86,3.0,3.0,3.0,9.0,3.0,0.0
87,3.0,21.0,3.0,9.0,3.0,12.0
88,3.0,3.0,3.0,36.0,3.0,24.0
89,3.0,9.0,3.0,26.0,3.0,9.0
90,3.0,3.0,3.0,9.0,3.0,9.0
91,3.0,3.0,3.0,15.0,3.0,15.0
92,3.0,3.0,3.0,21.0,3.0,15.0
93,45.0,3.0,45.0,0.0,45.0,9.0
94,45.0,27.0,45.0,9.0,45.0,53.0
95,45.0,24.0,45.0,9.0,45.0,9.0
96,45.0,12.0,45.0,9.0,45.0,9.0
97,45.0,3.0,45.0,9.0,45.0,9.0
98,45.0,0.0,45.0,0.0,45.0,9.0
99,45.0,3.0,45.0,0.0,45.0,9.0
100,45.0,3.0,45.0,36.0,45.0,15.0
101,45.0,3.0,45.0,9.0,45.0,12.0
102,3.0,6.0,3.0,9.0,3.0,3.0
103,3.0,0.0,3.0,9.0,3.0,27.0
104,3.0,3.0,3.0,27.0,3.0,12.0
105,3.0,3.0,3.0,9.0,3.0,9.0
106,3.0,3.0,3.0,6.0,3.0,9.0
107,21.0,3.0,21.0,6.0,21.0,9.0
108,3.0,3.0,3.0,18.0,3.0,9.0
109,3.0,3.0,3.0,6.0,3.0,9.0
110,21.0,3.0,21.0,45.0,21.0,9.0
111,3.0,3.0,3.0,3.0,3.0,15.0
112,3.0,3.0,3.0,42.0,3.0,9.0
113,3.0,3.0,3.0,0.0,3.0,12.0
114,3.0,3.0,3.0,0.0,3.0,9.0
115,3.0,3.0,3.0,0.0,3.0,9.0
116,15.0,3.0,15.0,42.0,15.0,30.0
117,3.0,3.0,3.0,45.0,3.0,0.0
118,3.0,3.0,3.0,24.0,3.0,0.0
119,3.0,3.0,3.0,6.0,3.0,33.0
120,3.0,3.0,3.0,0.0,3.0,21.0
121,3.0,21.0,3.0,0.0,3.0,12.0
122,3.0,12.0,3.0,0.0,3.0,12.0
123,36.0,6.0,36.0,9.0,36.0,30.0
124,0.0,3.0,0.0,9.0,0.0,0.0
125,0.0,3.0,0.0,9.0,0.0,0.0
126,0.0,3.0,0.0,9.0,0.0,0.0
127,0.0,36.0,0.0,33.0,0.0,30.0
128,0.0,3.0,0.0,21.0,0.0,30.0
129,0.0,3.0,0.0,0.0,0.0,12.0
130,0.0,3.0,0.0,0.0,0.0,0.0
131,0.0,3.0,0.0,9.0,0.0,24.0
132,0.0,3.0,0.0,9.0,0.0,24.0
133,0.0,3.0,0.0,9.0,0.0,0.0
134,39.0,3.0,39.0,9.0,39.0,36.0
135,3.0,3.0,3.0,8.0,3.0,42.0
136,3.0,8.0,3.0,9.0,3.0,0.0
137,3.0,24.0,3.0,9.0,3.0,12.0
138,18.0,9.0,18.0,0.0,18.0,33.0
139,3.0,24.0,3.0,9.0,3.0,0.0
140,3.0,3.0,3.0,12.0,3.0,18.0
141,3.0,3.0,3.0,12.0,3.0,24.0
142,3.0,3.0,3.0,0.0,3.0,36.0
143,15.0,26.0,15.0,39.0,15.0,0.0
144,6.0,0.0,6.0,0.0,6.0,15.0
145,6.0,3.0,6.0,3.0,6.0,36.0
146,6.0,3.0,6.0,9.0,6.0,15.0
