,0,1,2,3,4,5,6,7,8,9,10,11
0,5.0,24.0,5.0,1.0,5.0,28.0,5.0,45.0,5.0,33.0,5.0,13.0
1,5.0,24.0,5.0,4.0,5.0,28.0,5.0,45.0,5.0,33.0,5.0,5.0
2,5.0,24.0,5.0,1.0,5.0,28.0,5.0,45.0,5.0,33.0,5.0,8.0
3,5.0,24.0,5.0,1.0,5.0,28.0,5.0,45.0,5.0,33.0,5.0,13.0
4,5.0,24.0,5.0,1.0,5.0,28.0,5.0,45.0,5.0,33.0,5.0,9.0
5,5.0,24.0,5.0,1.0,5.0,28.0,5.0,45.0,5.0,33.0,5.0,13.0
6,5.0,24.0,5.0,5.0,5.0,28.0,5.0,45.0,5.0,33.0,5.0,10.0
7,5.0,24.0,5.0,1.0,5.0,28.0,5.0,45.0,5.0,33.0,5.0,5.0
8,5.0,24.0,5.0,5.0,5.0,13.0,5.0,3.0,5.0,1.0,5.0,13.0
9,5.0,24.0,5.0,1.0,5.0,10.0,5.0,0.0,5.0,3.0,5.0,13.0
10,5.0,24.0,5.0,1.0,5.0,0.0,5.0,1.0,5.0,2.0,5.0,13.0
11,5.0,24.0,5.0,1.0,5.0,10.0,5.0,4.0,5.0,3.0,5.0,7.0
12,5.0,24.0,5.0,4.0,5.0,10.0,5.0,10.0,5.0,2.0,5.0,13.0
13,5.0,24.0,5.0,5.0,5.0,10.0,5.0,4.0,5.0,2.0,5.0,13.0
14,5.0,24.0,5.0,1.0,5.0,10.0,5.0,11.0,5.0,2.0,5.0,13.0
15,5.0,24.0,5.0,5.0,5.0,15.0,5.0,9.0,5.0,2.0,5.0,13.0
16,5.0,24.0,5.0,0.0,5.0,4.0,5.0,4.0,5.0,2.0,5.0,13.0
17,5.0,24.0,5.0,20.0,5.0,3.0,5.0,16.0,5.0,2.0,5.0,13.0
18,5.0,24.0,5.0,0.0,5.0,5.0,5.0,0.0,5.0,2.0,5.0,13.0
19,5.0,24.0,5.0,5.0,5.0,14.0,5.0,4.0,5.0,1.0,5.0,13.0
20,5.0,24.0,5.0,5.0,5.0,10.0,5.0,4.0,5.0,2.0,5.0,13.0
21,5.0,24.0,5.0,5.0,5.0,10.0,5.0,4.0,5.0,0.0,5.0,13.0
22,5.0,24.0,5.0,5.0,5.0,10.0,5.0,4.0,5.0,0.0,5.0,13.0
23,5.0,24.0,5.0,5.0,5.0,10.0,5.0,4.0,5.0,2.0,5.0,13.0
24,5.0,24.0,5.0,5.0,5.0,10.0,5.0,4.0,5.0,2.0,5.0,1.0
25,5.0,24.0,5.0,5.0,5.0,10.0,5.0,2.0,5.0,6.0,5.0,4.0
26,5.0,24.0,5.0,6.0,5.0,1.0,5.0,5.0,5.0,2.0,5.0,24.0
27,5.0,24.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,5.0,0.0
28,5.0,24.0,5.0,5.0,5.0,5.0,5.0,10.0,5.0,8.0,5.0,0.0
29,5.0,24.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0
30,5.0,24.0,5.0,10.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0
31,5.0,24.0,5.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,4.0
32,5.0,24.0,5.0,0.0,5.0,0.0,5.0,4.0,5.0,1.0,5.0,4.0
33,5.0,24.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,7.0,5.0,4.0
34,5.0,24.0,5.0,5.0,5.0,0.0,5.0,4.0,5.0,2.0,5.0,4.0
35,5.0,24.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,4.0
36,5.0,24.0,5.0,10.0,5.0,5.0,5.0,4.0,5.0,12.0,5.0,4.0
37,5.0,24.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0
38,5.0,24.0,5.0,14.0,5.0,5.0,5.0,8.0,5.0,8.0,5.0,1.0
39,5.0,24.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0
40,6.0,10.0,6.0,5.0,6.0,5.0,6.0,9.0,6.0,2.0,6.0,4.0
41,6.0,5.0,6.0,0.0,6.0,5.0,6.0,3.0,6.0,2.0,6.0,4.0
42,6.0,10.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,2.0,6.0,4.0
43,6.0,15.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,2.0,6.0,4.0
44,6.0,0.0,6.0,16.0,6.0,5.0,6.0,4.0,6.0,19.0,6.0,4.0
45,6.0,5.0,6.0,10.0,6.0,5.0,6.0,15.0,6.0,2.0,6.0,4.0
46,6.0,5.0,6.0,5.0,6.0,5.0,6.0,4.0,6.0,2.0,6.0,4.0
47,6.0,0.0,6.0,10.0,6.0,5.0,6.0,4.0,6.0,2.0,6.0,4.0
48,6.0,5.0,6.0,5.0,6.0,5.0,6.0,2.0,6.0,2.0,6.0,0.0
49,4.0,5.0,4.0,0.0,4.0,5.0,4.0,1.0,4.0,2.0,4.0,4.0
50,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0
51,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0
52,4.0,5.0,4.0,5.0,4.0,1.0,4.0,9.0,4.0,2.0,4.0,4.0
53,4.0,5.0,4.0,1.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0
54,4.0,5.0,4.0,13.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0
55,4.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0
56,4.0,5.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,0.0
57,4.0,5.0,4.0,5.0,4.0,5.0,4.0,13.0,4.0,2.0,4.0,48.0
58,5.0,6.0,5.0,9.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,4.0
59,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0
60,5.0,10.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0
61,5.0,5.0,5.0,0.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,4.0
62,5.0,22.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0
63,5.0,5.0,5.0,6.0,5.0,5.0,5.0,12.0,5.0,2.0,5.0,4.0
64,5.0,10.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0
65,0.0,5.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,9.0
66,0.0,4.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,2.0,0.0,6.0
67,0.0,15.0,0.0,1.0,0.0,5.0,0.0,4.0,0.0,5.0,0.0,0.0
68,0.0,5.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,2.0,0.0,1.0
69,0.0,10.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,14.0,0.0,0.0
70,0.0,5.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,2.0,0.0,5.0
71,0.0,0.0,0.0,6.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0
72,0.0,5.0,0.0,6.0,0.0,5.0,0.0,11.0,0.0,10.0,0.0,6.0
73,0.0,5.0,0.0,1.0,0.0,9.0,0.0,4.0,0.0,0.0,0.0,11.0
74,0.0,5.0,0.0,15.0,0.0,10.0,0.0,4.0,0.0,10.0,0.0,5.0
75,5.0,1.0,5.0,1.0,5.0,0.0,5.0,4.0,5.0,10.0,5.0,21.0
76,5.0,5.0,5.0,6.0,5.0,5.0,5.0,4.0,5.0,10.0,5.0,20.0
77,14.0,5.0,14.0,6.0,14.0,5.0,14.0,0.0,14.0,4.0,14.0,0.0
78,2.0,5.0,2.0,6.0,2.0,10.0,2.0,4.0,2.0,4.0,2.0,4.0
79,2.0,10.0,2.0,11.0,2.0,0.0,2.0,4.0,2.0,10.0,2.0,4.0
80,2.0,5.0,2.0,6.0,2.0,5.0,2.0,16.0,2.0,10.0,2.0,4.0
81,2.0,0.0,2.0,6.0,2.0,5.0,2.0,2.0,2.0,10.0,2.0,4.0
82,2.0,5.0,2.0,6.0,2.0,5.0,2.0,4.0,2.0,0.0,2.0,4.0
83,2.0,5.0,2.0,6.0,2.0,5.0,2.0,4.0,2.0,10.0,2.0,4.0
84,2.0,1.0,2.0,6.0,2.0,5.0,2.0,4.0,2.0,10.0,2.0,5.0
85,2.0,5.0,2.0,6.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,4.0
86,2.0,5.0,2.0,6.0,2.0,5.0,2.0,9.0,2.0,0.0,2.0,3.0
87,5.0,5.0,5.0,11.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0
88,5.0,5.0,5.0,11.0,5.0,5.0,5.0,2.0,5.0,10.0,5.0,4.0
89,5.0,5.0,5.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,5.0
90,0.0,0.0,0.0,6.0,0.0,20.0,0.0,1.0,0.0,10.0,0.0,0.0
