,0,1,2,3,4,5,6,7,8,9,10,11
0,5.0,12.0,5.0,15.0,5.0,40.0,5.0,29.0,5.0,46.0,5.0,15.0
1,5.0,12.0,5.0,15.0,5.0,40.0,5.0,29.0,5.0,46.0,5.0,0.0
2,5.0,12.0,5.0,15.0,5.0,40.0,5.0,29.0,5.0,46.0,5.0,4.0
3,5.0,12.0,5.0,11.0,5.0,40.0,5.0,29.0,5.0,46.0,5.0,1.0
4,5.0,12.0,5.0,16.0,5.0,40.0,5.0,29.0,5.0,46.0,5.0,0.0
5,5.0,12.0,5.0,10.0,5.0,40.0,5.0,29.0,5.0,46.0,5.0,0.0
6,5.0,12.0,5.0,15.0,5.0,40.0,5.0,29.0,5.0,46.0,5.0,0.0
7,5.0,12.0,5.0,11.0,5.0,40.0,5.0,29.0,5.0,46.0,5.0,0.0
8,5.0,12.0,5.0,15.0,5.0,21.0,5.0,9.0,5.0,36.0,5.0,1.0
9,5.0,12.0,5.0,14.0,5.0,1.0,5.0,14.0,5.0,31.0,5.0,0.0
10,5.0,12.0,5.0,15.0,5.0,15.0,5.0,4.0,5.0,40.0,5.0,0.0
11,5.0,12.0,5.0,20.0,5.0,15.0,5.0,15.0,5.0,25.0,5.0,0.0
12,5.0,12.0,5.0,26.0,5.0,10.0,5.0,14.0,5.0,46.0,5.0,0.0
13,5.0,12.0,5.0,15.0,5.0,5.0,5.0,14.0,5.0,41.0,5.0,0.0
14,5.0,12.0,5.0,15.0,5.0,15.0,5.0,14.0,5.0,40.0,5.0,14.0
15,5.0,12.0,5.0,15.0,5.0,15.0,5.0,14.0,5.0,5.0,5.0,0.0
16,5.0,12.0,5.0,10.0,5.0,15.0,5.0,14.0,5.0,36.0,5.0,0.0
17,5.0,12.0,5.0,15.0,5.0,16.0,5.0,14.0,5.0,40.0,5.0,5.0
18,5.0,12.0,5.0,10.0,5.0,15.0,5.0,14.0,5.0,5.0,5.0,1.0
19,5.0,12.0,5.0,15.0,5.0,15.0,5.0,14.0,5.0,0.0,5.0,5.0
20,5.0,12.0,5.0,15.0,5.0,15.0,5.0,16.0,5.0,36.0,5.0,0.0
21,5.0,12.0,5.0,10.0,5.0,15.0,5.0,14.0,5.0,15.0,5.0,0.0
22,5.0,12.0,5.0,20.0,5.0,2.0,5.0,14.0,5.0,40.0,5.0,0.0
